neighbourhood,neighbourhood_group,airbnb_counts_per_neighbourhood,hotel_counts_per_neighbourhood
Allerton,Bronx,45,6
Arden Heights,Staten Island,7,6
Arrochar,Staten Island,17,6
Arverne,Queens,110,0
Astoria,Queens,686,138
Bath Beach,Brooklyn,26,2
Battery Park City,Manhattan,87,2
Bay Ridge,Brooklyn,147,10
Bay Terrace,Queens,4,0
Baychester,Bronx,29,8
Bayside,Queens,71,6
Bayswater,Queens,24,8
Bedford-Stuyvesant,Brooklyn,2779,69
Belle Harbor,Queens,7,6
Bellerose,Queens,17,2
Belmont,Bronx,30,28
Bensonhurst,Brooklyn,72,0
Bergen Beach,Brooklyn,18,6
Bloomfield,Staten Island,1,12
Boerum Hill,Brooklyn,131,16
Borough Park,Brooklyn,76,4
Breezy Point,Queens,4,0
Briarwood,Queens,36,40
Brighton Beach,Brooklyn,60,16
Broad Channel,Queens,2,0
Bronx Park,Bronx,10,2
Bronxdale,Bronx,19,2
Brooklyn Heights,Brooklyn,92,37
Brownsville,Brooklyn,108,12
Bull's Head,Staten Island,1,0
Bushwick,Brooklyn,1657,26
Cambria Heights,Queens,75,0
Canarsie,Brooklyn,211,0
Carroll Gardens,Brooklyn,179,7
Castle Hill,Bronx,4,4
Castleton Corners,Staten Island,7,4
Central Park,Manhattan,66,1032
Chelsea,Staten Island,903,185
Chinatown,Manhattan,237,907
City Island,Bronx,15,0
Civic Center,Manhattan,30,8
Claremont Village,Bronx,45,6
Clason Point,Bronx,39,0
Clifton,Staten Island,11,0
Clinton Hill,Brooklyn,367,0
Co-op City,Bronx,2,6
Cobble Hill,Brooklyn,69,0
College Point,Queens,36,6
Columbia St,Brooklyn,27,0
Concord,Staten Island,8,0
Concourse,Bronx,52,8
Concourse Village,Bronx,37,16
Coney Island,Brooklyn,22,1
Corona,Queens,72,10
Country Club,Bronx,1,2
Crotona Park,Bronx,2,10
Crown Heights,Brooklyn,1197,12
Cypress Hills,Brooklyn,168,5
DUMBO,Brooklyn,26,0
Ditmars Steinway,Queens,253,0
Dongan Hills,Staten Island,6,0
Douglaston,Queens,7,0
Downtown Brooklyn,Brooklyn,59,0
Dyker Heights,Brooklyn,17,0
East Elmhurst,Queens,234,28
East Flatbush,Brooklyn,530,2
East Harlem,Manhattan,768,10
East Morrisania,Bronx,9,0
East New York,Brooklyn,326,0
East Village,Manhattan,1057,76
Eastchester,Bronx,24,4
Edenwald,Bronx,30,0
Edgemere,Queens,14,0
Ellis Island,Manhattan,79,0
Elmhurst,Queens,248,8
Eltingville,Staten Island,5,0
Emerson Hill,Staten Island,4,0
Far Rockaway,Queens,56,0
Ferry Point Park,Bronx,1,0
Fieldston,Bronx,10,4
Financial District,Manhattan,482,95
Flatbush,Brooklyn,488,9
Flatiron District,Manhattan,98,0
Flatlands,Brooklyn,101,0
Floral Park,Queens,11,2
Flushing,Queens,485,54
Flushing Meadows Corona Park,Queens,10,0
Fordham,Bronx,63,6
Forest Hills,Queens,130,0
Forest Park,Queens,14,0
Fort Greene,Brooklyn,322,0
Fort Hamilton,Brooklyn,36,0
Fort Wadsworth,Staten Island,1,0
Fresh Meadows,Queens,32,6
Freshkills Park,Staten Island,8,0
Gerritsen Beach,Brooklyn,5,0
Glendale,Queens,56,0
Gowanus,Brooklyn,166,16
Gramercy,Manhattan,227,34
Graniteville,Staten Island,4,0
Grant City,Staten Island,14,2
Gravesend,Brooklyn,68,5
Great Kills,Staten Island,4,0
Green-Wood Cemetery,Brooklyn,10,38
Greenpoint,Brooklyn,708,12
Greenwich Village,Manhattan,206,48
Grymes Hill,Staten Island,7,0
Harlem,Manhattan,1878,30
Hell's Kitchen,Manhattan,1578,292
Highbridge,Bronx,24,0
Hollis,Queens,29,2
Hollis Hills,Queens,1,0
Holliswood,Queens,3,0
Howard Beach,Queens,33,2
Howland Hook,Staten Island,21,0
Huguenot,Staten Island,4,0
Hunts Point,Bronx,30,0
Inwood,Manhattan,186,0
